20,19,374,3,35,11,1,2018
21,20,410,5,38,11,1,2018
21,21,405,7,41,11,1,2018
21,21,390,10,44,11,1,2018
20,19,374,15,35,11,1,2018
21,20,410,17,38,11,1,2018
21,21,405,20,41,11,1,2018
21,21,390,10,44,13,1,2018
20,19,374,15,35,13,1,2018
21,20,410,17,38,13,1,2018
21,21,405,20,41,13,1,2018
21,21,390,10,44,12,1,2018
20,19,374,17,35,12,1,2018
21,20,410,10,38,15,1,2018
21,21,405,17,41,15,1,2018
21,21,390,17,44,15,1,2018
20,19,374,3,35,17,1,2018
21,20,410,6,38,17,1,2018
21,21,405,9,41,17,1,2018
21,21,390,12,44,17,1,2018
23,15,1200,15,35,17,1,2018
21,21,390,19,44,17,1,2018
20,19,374,22,35,17,1,2018
